20,10,30,20,50,10,30,120,10,20,60,30,20,40,30,40,20,0,90,20,10,10,30,30,80,20,20,30,30,120,50,10,0,30,10,10,10,10,40,60,30,30,30,60,20,70,30,50,30,20,40,0,20,30,60
50,30,30,70,30,40,50,20,10,120,10,100,40,20,90,30,30,60,10,10,30,30,40,100,30,60,0,130,10,20,30,50,0,50,70,20,20,10,60,20,30,10,40,20,0,80,20,30,20,30,30,20,10,10,40
20,20,60,20,20,70,30,20,70,20,20,20,40,10,30,20,30,100,30,70,30,10,10,20,30,20,50,30,40,20,60,10,30,10,20,10,30,20,40,50,50,10,30,40,10,10,20,40,20,10,20,50,30,0,0
60,10,20,10,30,100,60,10,0,10,120,0,10,110,20,20,60,10,20,30,120,0,0,40,20,20,40,60,10,0,10,20,40,40,30,10,50,40,40,20,10,10,20,10,30,20,30,20,50,40,10,20,10,20,30
10,10,80,50,90,60,60,40,20,20,10,10,30,20,30,0,40,10,30,150,40,10,10,40,10,30,20,40,30,20,0,30,10,30,0,10,30,30,30,50,10,50,30,20,80,30,50,10,30,30,20,20,20,20,40
40,10,100,0,20,40,110,20,30,50,10,30,30,50,10,10,20,20,40,20,40,40,20,10,9100,30,30,10,40,10,60,0,10,30,10,20,30,20,20,30,50,30,0,10,10,20,30,30,30,10,20,20,30,50,10
20,40,40,10,20,60,30,30,130,30,90,20,30,20,0,150,40,40,30,30,20,30,10,30,1550,0,20,30,30,20,30,10,30,30,20,20,10,70,30,10,30,10,10,40,30,30,20,30,40,50,30,20,20,10,30
10,10,80,10,20,50,20,40,40,90,50,30,290,10,40,290,100,10,10,80,20,30,80,60,10,60,20,0,40,20,60,20,50,30,20,50,10,10,20,20,40,20,10,40,20,20,60,50,40,0,10,40,20,10,10
20,10,30,10,20,70,20,100,20,80,10,30,150,20,40,80,40,50,40,20,30,0,110,80,20,40,80,10,50,20,20,20,0,10,10,50,0,0,10,0,20,50,20,10,30,30,40,20,50,30,20,20,20,10,30
40,20,40,0,20,10,30,10,30,80,10,100,180,60,30,170,70,70,10,60,40,10,10,120,10,140,10,40,30,100,0,0,10,30,10,20,40,30,90,20,10,30,0,50,60,20,10,30,20,40,70,10,20,10,10
30,30,30,20,50,30,20,20,50,110,40,40,30,30,50,60,20,40,110,0,60,110,10,30,30,30,10,50,40,20,0,20,40,20,30,30,20,0,40,80,10,0,30,10,10,20,0,30,20,10,30,30,10,20,20
40,40,30,10,10,30,0,30,40,0,100,40,40,30,80,30,140,20,30,20,0,20,30,40,20,40,30,30,10,20,20,10,10,10,80,30,30,0,30,30,50,20,10,0,10,20,20,10,40,10,30,30,0,20,40
20,30,30,0,30,30,100,0,40,10,20,60,40,100,30,60,10,110,80,10,50,50,10,30,100,10,10,20,50,50,30,30,20,30,40,20,80,20,20,10,20,10,20,20,20,40,30,30,0,30,20,20,50,30,30
